dynamic_accuracy steamvr; 20211013-223229; x y z w i j k;  frequency = 150
3.924247920513153076e-01 -5.527141094207763672e-01 -1.589199662208557129e+00 9.996220500301953305e-01 -1.710075777146745010e-02 -2.120423607315240211e-02 -3.702029921428265195e-03 3.792904913425445557e-01 -5.388103723526000977e-01 -1.336852550506591797e+00 1.873252372089565659e-02 -1.338388267737630234e-02 9.993524780395129925e-01 -2.162549906696979371e-02
3.922416567802429199e-01 -5.527651309967041016e-01 -1.591907262802124023e+00 9.996140823163978117e-01 -1.708414709177735052e-02 -2.160848494306067888e-02 -3.590476170183082901e-03 3.792701363563537598e-01 -5.387990474700927734e-01 -1.338331222534179688e+00 1.874445197357697823e-02 -1.335101991900583367e-02 9.993718766265685671e-01 -2.165526169534212966e-02
3.913805186748504639e-01 -5.528389811515808105e-01 -1.592956423759460449e+00 9.996143208269939739e-01 -1.719362681946629348e-02 -2.153396480014578909e-02 -3.447556473873395876e-03 3.797462284564971924e-01 -5.390517115592956543e-01 -1.340079426765441895e+00 1.865320653068374551e-02 -1.332520966636668511e-02 9.993506325662483425e-01 -2.178033971599704910e-02
3.919420242309570312e-01 -5.528492927551269531e-01 -1.594823956489562988e+00 9.996079555559533869e-01 -1.727377946999284972e-02 -2.177349352318537837e-02 -3.386155741804168073e-03 3.793683946132659912e-01 -5.391297936439514160e-01 -1.341462612152099609e+00 1.865720036576445223e-02 -1.333229082001970503e-02 9.993405211058782323e-01 -2.215517584636950491e-02
3.917197883129119873e-01 -5.526612997055053711e-01 -1.596068739891052246e+00 9.996024623093687778e-01 -1.740620181594658769e-02 -2.190905990503055206e-02 -3.453858699102050310e-03 3.792949616909027100e-01 -5.391318202018737793e-01 -1.343880176544189453e+00 1.855348281965072885e-02 -1.331285277837227811e-02 9.993442067295219555e-01 -2.214593114898536982e-02
3.916342258453369141e-01 -5.529385805130004883e-01 -1.597404837608337402e+00 9.996084400335115694e-01 -1.706453833491081498e-02 -2.190874254993573772e-02 -3.432256904032259491e-03 3.792642652988433838e-01 -5.389101505279541016e-01 -1.345147848129272461e+00 1.863242478836994384e-02 -1.323020721952756530e-02 9.993302258987554199e-01 -2.208686698713441254e-02
3.917792141437530518e-01 -5.526630282402038574e-01 -1.598726630210876465e+00 9.996028797077266548e-01 -1.749573486204938910e-02 -2.180855373767547067e-02 -3.516949614257578079e-03 3.794699907302856445e-01 -5.388979911804199219e-01 -1.347273588180541992e+00 1.858477913003527687e-02 -1.338489559745160810e-02 9.993362328890798008e-01 -2.258693302052111260e-02
3.914099335670471191e-01 -5.527336001396179199e-01 -1.600501656532287598e+00 9.996070238676815212e-01 -1.729648219008961610e-02 -2.178526893367312492e-02 -3.468574916211413905e-03 3.798069357872009277e-01 -5.388600230216979980e-01 -1.348257184028625488e+00 1.864761372453936639e-02 -1.337050924711639596e-02 9.993561927625957964e-01 -2.276648411652086937e-02
3.920605480670928955e-01 -5.525475144386291504e-01 -1.601771473884582520e+00 9.996018734792461169e-01 -1.760070961066311293e-02 -2.177007532003398527e-02 -3.516228646358918360e-03 3.795878887176513672e-01 -5.388383269309997559e-01 -1.350090503692626953e+00 1.873928399630609906e-02 -1.340251228576086993e-02 9.993315503012182299e-01 -2.273127690472631288e-02
3.919676542282104492e-01 -5.522966980934143066e-01 -1.603619933128356934e+00 9.996036101544335528e-01 -1.773404979387571342e-02 -2.158046335400167978e-02 -3.521764007816117256e-03 3.791100084781646729e-01 -5.390889048576354980e-01 -1.351943492889404297e+00 1.863962109045545767e-02 -1.344904102477640501e-02 9.993376808676827094e-01 -2.286958035098703851e-02
