dynamic_accuracy steamvr; 20211013-223916; x y z w i j k;  frequency = 150
3.723877072334289551e-01 -5.470060110092163086e-01 -1.514361500740051270e+00 9.997964070613079013e-01 -6.525523513785062325e-03 -1.569224747216929616e-02 -1.087748714416324376e-02 3.600784838199615479e-01 -5.443629622459411621e-01 -1.243193626403808594e+00 5.284389849099941847e-03 -1.369510679042186541e-02 9.980110582855995505e-01 -1.757160081809922003e-02
3.682599067687988281e-01 -5.449869632720947266e-01 -1.515143275260925293e+00 9.997864062960539755e-01 -6.597401879533156509e-03 -1.575665334395766337e-02 -1.163408506041657166e-02 3.584719300270080566e-01 -5.439303517341613770e-01 -1.241352081298828125e+00 4.941963496093056997e-03 -1.328435367474800795e-02 9.977167355172764651e-01 -1.763976052877312337e-02
3.673343062400817871e-01 -5.458465218544006348e-01 -1.513978004455566406e+00 9.997912129356550937e-01 -6.559949025230419999e-03 -1.552320322443631433e-02 -1.155522557887820635e-02 3.546917438507080078e-01 -5.428043603897094727e-01 -1.239200949668884277e+00 5.246183824937572862e-03 -1.337091633427426283e-02 9.977706134438818486e-01 -1.798147613426635122e-02
3.658347129821777344e-01 -5.476027727127075195e-01 -1.513564467430114746e+00 9.997994028001319089e-01 -6.313263961505184881e-03 -1.522649464070791395e-02 -1.137696530674016035e-02 3.517633676528930664e-01 -5.436393618583679199e-01 -1.238887429237365723e+00 5.049345185533797749e-03 -1.306787355329739643e-02 9.979227227928298971e-01 -1.853784380076901536e-02
3.648786544799804688e-01 -5.484554171562194824e-01 -1.516354560852050781e+00 9.997903633917323285e-01 -7.132434732870990453e-03 -1.548211505253451956e-02 -1.134294573879833859e-02 3.501335978507995605e-01 -5.435561537742614746e-01 -1.243001699447631836e+00 4.704064665038499085e-03 -1.250200216343375949e-02 9.973238260036777492e-01 -1.932665759561146002e-02
3.635827898979187012e-01 -5.488978624343872070e-01 -1.518916010856628418e+00 9.997762042200764032e-01 -8.344590380598889898e-03 -1.585099937164930264e-02 -1.125411908357568623e-02 3.483186960220336914e-01 -5.436952114105224609e-01 -1.245110750198364258e+00 4.741924951063240107e-03 -1.251531161599581110e-02 9.973137839236562163e-01 -2.009180548091840310e-02
3.612913787364959717e-01 -5.489380359649658203e-01 -1.520438909530639648e+00 9.997750491209104196e-01 -8.604246436170099460e-03 -1.569400468545233476e-02 -1.138050466554193195e-02 3.463802337646484375e-01 -5.440287590026855469e-01 -1.246885895729064941e+00 4.471840596683154638e-03 -1.245271818170062827e-02 9.973593129577839056e-01 -1.991741390574198328e-02
3.588225543498992920e-01 -5.499630570411682129e-01 -1.520699977874755859e+00 9.997771059417236428e-01 -8.549441717227296289e-03 -1.563919888808415828e-02 -1.131633887718980561e-02 3.434562683105468750e-01 -5.441456437110900879e-01 -1.246894001960754395e+00 4.910201504179386063e-03 -1.289990052156398531e-02 9.979067024033213551e-01 -1.979017188833919610e-02
3.554229438304901123e-01 -5.497909784317016602e-01 -1.522779703140258789e+00 9.997745051060022980e-01 -9.159530732590971322e-03 -1.568004349605770648e-02 -1.100789407978510458e-02 3.406997025012969971e-01 -5.447986125946044922e-01 -1.246237754821777344e+00 4.819845464453035612e-03 -1.323177428298648664e-02 9.976667089461389581e-01 -1.997818602403225036e-02
3.507417440414428711e-01 -5.495485067367553711e-01 -1.522392749786376953e+00 9.997826951073437440e-01 -8.935908330323642790e-03 -1.567956758974333939e-02 -1.043417313960873054e-02 3.370384573936462402e-01 -5.447664856910705566e-01 -1.247169733047485352e+00 4.598341846151699636e-03 -1.327552470884890354e-02 9.973529333943244035e-01 -1.948543306618052973e-02
