dynamic_accuracy steamvr; 20211013-223044; x y z w i j k;  frequency = 150
4.964340329170227051e-01 -5.425983667373657227e-01 -1.388342142105102539e+00 6.990053111511000949e-01 6.452806958680567390e-03 -7.149950449572558542e-01 1.148586057960056597e-02 2.294556200504302979e-01 -5.476029515266418457e-01 -1.399266719818115234e+00 7.132945843157374455e-01 -2.215664367132820847e-02 7.004685038457333368e-01 -7.981310964913316056e-03
4.947329163551330566e-01 -5.425038337707519531e-01 -1.388032078742980957e+00 6.990714850464326835e-01 6.024229897574382743e-03 -7.149273211112637805e-01 1.189918665035307951e-02 2.277619242668151855e-01 -5.477018952369689941e-01 -1.399105668067932129e+00 7.132360346638579873e-01 -2.268701752014139553e-02 7.005074530218299289e-01 -8.299963053666665341e-03
4.932237267494201660e-01 -5.424689650535583496e-01 -1.388247132301330566e+00 6.989600522826874274e-01 5.700179471434233328e-03 -7.150288278393498453e-01 1.249153231759164880e-02 2.266445010900497437e-01 -5.479059219360351562e-01 -1.400392293930053711e+00 7.132379169295520738e-01 -2.324257132346303420e-02 7.004815991308331879e-01 -8.768247322419236989e-03
4.916606843471527100e-01 -5.423527359962463379e-01 -1.388344168663024902e+00 6.990374261421529178e-01 5.298088397890313855e-03 -7.149422231109149317e-01 1.327142353155802770e-02 2.252875715494155884e-01 -5.480379462242126465e-01 -1.401251673698425293e+00 7.131474874811976061e-01 -2.385375341605273231e-02 7.005501753233508433e-01 -9.001247745625058638e-03
4.901319146156311035e-01 -5.423883795738220215e-01 -1.388463258743286133e+00 6.990733238516485537e-01 4.981422024379879299e-03 -7.148954921988948108e-01 1.400051327667723583e-02 2.234501391649246216e-01 -5.478690862655639648e-01 -1.398025512695312500e+00 7.130875864064720737e-01 -2.439758321688782761e-02 7.005881474447067658e-01 -9.328912145126310243e-03
4.886005520820617676e-01 -5.423929095268249512e-01 -1.388066291809082031e+00 6.992208424861861005e-01 4.670591002953316390e-03 -7.147419387734887941e-01 1.456974773411970348e-02 2.216764092445373535e-01 -5.474577546119689941e-01 -1.396477937698364258e+00 7.128906027911456889e-01 -2.497054726517304590e-02 7.007644871631170114e-01 -9.617451092110301109e-03
4.872296154499053955e-01 -5.422450304031372070e-01 -1.388420581817626953e+00 6.992851157899623304e-01 4.336431022623528884e-03 -7.146672736427202022e-01 1.523590193624278777e-02 2.199856489896774292e-01 -5.472620725631713867e-01 -1.394659757614135742e+00 7.126834081589645820e-01 -2.551318536670307835e-02 7.009518871106140692e-01 -9.890351984587691242e-03
4.854595661163330078e-01 -5.420880913734436035e-01 -1.388427734375000000e+00 6.992750967620572355e-01 3.876933756138678955e-03 -7.146651750394944491e-01 1.590249108132214470e-02 2.182608991861343384e-01 -5.479013323783874512e-01 -1.397145390510559082e+00 7.127198569989218191e-01 -2.619956091136970908e-02 7.008863933134853452e-01 -1.010732557577252375e-02
4.837012588977813721e-01 -5.420523285865783691e-01 -1.388374567031860352e+00 6.993593921615778308e-01 3.612238606488641680e-03 -7.145643756706078209e-01 1.676432229044270625e-02 2.163861393928527832e-01 -5.479684472084045410e-01 -1.397686123847961426e+00 7.126403702476561408e-01 -2.679745820194636904e-02 7.009402927778832781e-01 -1.040332018931257319e-02
4.817860722541809082e-01 -5.419761538505554199e-01 -1.388446211814880371e+00 6.993866557706648335e-01 3.169000040976644762e-03 -7.145270605185949364e-01 1.729834522678411202e-02 2.146889567375183105e-01 -5.482329726219177246e-01 -1.397874712944030762e+00 7.126477680279683646e-01 -2.732709789208995210e-02 7.009095350777935218e-01 -1.058823970848706345e-02
