dynamic_accuracy steamvr; 20211013-222816; x y z w i j k;  frequency = 150
5.182159543037414551e-01 -5.427287817001342773e-01 -1.413078546524047852e+00 6.974131343988658749e-01 1.051953422244182070e-02 -7.165609969418236247e-01 6.671639949854556162e-03 2.516554296016693115e-01 -5.473874211311340332e-01 -1.424144625663757324e+00 7.121358237936650237e-01 -1.797643388434696371e-02 7.018053267555858232e-01 -2.932655392806726973e-03
5.178515911102294922e-01 -5.424174070358276367e-01 -1.415676236152648926e+00 6.973657499413089544e-01 1.061282509558266959e-02 -7.166027625116442312e-01 6.981039220988995847e-03 2.515829503536224365e-01 -5.481603145599365234e-01 -1.428950905799865723e+00 7.120755755458987313e-01 -1.833420809849062652e-02 7.018569632852338369e-01 -2.990256833774597705e-03
5.182055830955505371e-01 -5.424101948738098145e-01 -1.416775107383728027e+00 6.973179589194035133e-01 1.054708440289213629e-02 -7.166488194242178755e-01 7.127623900764172918e-03 2.514836192131042480e-01 -5.475069284439086914e-01 -1.425854802131652832e+00 7.122902612059450744e-01 -1.852845571374538841e-02 7.016327655997665058e-01 -3.263748415586935868e-03
5.180282592773437500e-01 -5.423972606658935547e-01 -1.417174816131591797e+00 6.972337940574528936e-01 1.053851734383672370e-02 -7.167300490815032843e-01 7.202999679537010723e-03 2.510407567024230957e-01 -5.476142764091491699e-01 -1.428600072860717773e+00 7.123161834778097834e-01 -1.890104594403098359e-02 7.015950361575631344e-01 -3.565248792708256703e-03
5.177680850028991699e-01 -5.424538850784301758e-01 -1.418041467666625977e+00 6.972728409647541703e-01 1.066590455357710986e-02 -7.166841638809504644e-01 7.780318624090830706e-03 2.510335445404052734e-01 -5.472158193588256836e-01 -1.426826000213623047e+00 7.123415661535907883e-01 -1.932568015189951166e-02 7.015568577159605468e-01 -3.730391466802322493e-03
5.174715518951416016e-01 -5.423189401626586914e-01 -1.419496893882751465e+00 6.970225292405081152e-01 1.040254409739459728e-02 -7.169310396581828337e-01 7.821701336688247075e-03 2.507731914520263672e-01 -5.467312335968017578e-01 -1.424225926399230957e+00 7.124918960815743718e-01 -1.964040610522417921e-02 7.013942369155734546e-01 -3.945556691243560891e-03
5.179010033607482910e-01 -5.424200296401977539e-01 -1.420779824256896973e+00 6.969127590273520578e-01 1.044051857725579631e-02 -7.170323313054336456e-01 8.254544877682640919e-03 2.505723536014556885e-01 -5.462040901184082031e-01 -1.423754811286926270e+00 7.125288899620785266e-01 -2.016743272407663448e-02 7.013409652082170931e-01 -4.077238762827579271e-03
5.175462961196899414e-01 -5.423509478569030762e-01 -1.421935677528381348e+00 6.968724316899267412e-01 1.051458124499835001e-02 -7.170651438149905355e-01 8.701430168855993005e-03 2.501151561737060547e-01 -5.462567210197448730e-01 -1.423601269721984863e+00 7.126137983086497929e-01 -2.039489051785423057e-02 7.012477184320123902e-01 -4.140653701087075762e-03
5.173636078834533691e-01 -5.422015786170959473e-01 -1.423339843750000000e+00 6.968727363963420629e-01 1.017745106351030000e-02 -7.170694062204353569e-01 8.728887105050063544e-03 2.499475032091140747e-01 -5.464499592781066895e-01 -1.426308155059814453e+00 7.127115550559491863e-01 -2.085393838840022065e-02 7.011325917058289781e-01 -4.511296793646755662e-03
5.172197222709655762e-01 -5.421118140220642090e-01 -1.424445867538452148e+00 6.968151809374099059e-01 9.893348393133646890e-03 -7.171292120215336796e-01 8.734733145484833983e-03 2.497502565383911133e-01 -5.464094877243041992e-01 -1.428083419799804688e+00 7.128643952077470258e-01 -2.109105032942819660e-02 7.009681154061804254e-01 -4.807428329326082772e-03
5.177835226058959961e-01 -5.421536564826965332e-01 -1.425594925880432129e+00 6.969229636904905600e-01 1.004486206383815167e-02 -7.170158026480967228e-01 9.259694863085775329e-03 2.502570450305938721e-01 -5.465806722640991211e-01 -1.432009339332580566e+00 7.126654279046157336e-01 -2.135790330628895353e-02 7.011594678818801052e-01 -5.208473241188745113e-03
