dynamic_accuracy steamvr; 20211012-215212; x y z w i j k;  frequency = 100
3.894800245761871338e-01 -5.121022462844848633e-01 -1.571602940559387207e+00 9.997993655397539037e-01 -4.451859567664780484e-03 -1.923580836757990062e-02 -3.374757033396459140e-03 3.789821863174438477e-01 -5.132700204849243164e-01 -1.318556308746337891e+00 1.668706083255619768e-02 -1.118047642468257899e-02 9.997330481288551063e-01 -7.117026533711826725e-03
3.894122838973999023e-01 -5.122427344322204590e-01 -1.573015451431274414e+00 9.997952147249502541e-01 -4.542900875807258203e-03 -1.944012625292712571e-02 -3.313278821606665744e-03 3.788696527481079102e-01 -5.129095315933227539e-01 -1.320370435714721680e+00 1.693304885990755751e-02 -1.139857606654124528e-02 9.997355163325593042e-01 -6.883588623149101277e-03
3.893600404262542725e-01 -5.122508406639099121e-01 -1.574378728866577148e+00 9.997918612713209141e-01 -4.734508089937117768e-03 -1.957984440563409131e-02 -3.231504769195479507e-03 3.786984086036682129e-01 -5.128982067108154297e-01 -1.321406364440917969e+00 1.705449399257311441e-02 -1.150179279588872325e-02 9.997111483555548572e-01 -7.068923497158575119e-03
3.894442319869995117e-01 -5.122243165969848633e-01 -1.576543211936950684e+00 9.997884854499732299e-01 -4.962218207674673476e-03 -1.971148020966251649e-02 -3.132516571471755887e-03 3.787326812744140625e-01 -5.124999880790710449e-01 -1.323277950286865234e+00 1.698357374728031235e-02 -1.151290335753136704e-02 9.997055570706446792e-01 -6.924911374893211700e-03
3.898035287857055664e-01 -5.123296380043029785e-01 -1.578358530998229980e+00 9.997880681291033689e-01 -5.271113473159128211e-03 -1.966811220892608278e-02 -3.032799595240951232e-03 3.787473440170288086e-01 -5.123925209045410156e-01 -1.325514793395996094e+00 1.705580454936951942e-02 -1.158958660849496690e-02 9.997067912944036516e-01 -7.361742653940821744e-03
3.900471925735473633e-01 -5.123904943466186523e-01 -1.580834865570068359e+00 9.997829484821114665e-01 -6.280432409210502144e-03 -1.963298265802328538e-02 -3.025811805862703603e-03 3.786646425724029541e-01 -5.123704075813293457e-01 -1.326594710350036621e+00 1.722749045850450675e-02 -1.167843475630588393e-02 9.997344004476932389e-01 -7.391929343788012155e-03
3.904936909675598145e-01 -5.125625133514404297e-01 -1.582016229629516602e+00 9.997841184765298150e-01 -6.034388931015492903e-03 -1.967718283745252886e-02 -2.847117455427017850e-03 3.787692487239837646e-01 -5.121554136276245117e-01 -1.328119158744812012e+00 1.734902172903500517e-02 -1.174561956996907422e-02 9.997193401310228156e-01 -7.073028844237102403e-03
3.907012343406677246e-01 -5.128067731857299805e-01 -1.583620905876159668e+00 9.997827249161432839e-01 -6.455873500692098886e-03 -1.963941270749929718e-02 -2.668627382892019111e-03 3.791089057922363281e-01 -5.128200650215148926e-01 -1.330463409423828125e+00 1.757812500000000000e-02 -1.184528403811984515e-02 9.996894730461968193e-01 -7.661554548475477816e-03
3.905877172946929932e-01 -5.126292705535888672e-01 -1.585119962692260742e+00 9.997825311589303432e-01 -6.380364857227351950e-03 -1.968584838482180868e-02 -2.578730483043321486e-03 3.792345225811004639e-01 -5.128012895584106445e-01 -1.332435250282287598e+00 1.741631526075371889e-02 -1.187323882255837855e-02 9.996944425600801098e-01 -7.143263502268662815e-03
3.907693624496459961e-01 -5.127049088478088379e-01 -1.587703704833984375e+00 9.997847817211652499e-01 -6.266775011959463404e-03 -1.962330073708623210e-02 -2.457775724686898314e-03 3.791860640048980713e-01 -5.128245949745178223e-01 -1.335156440734863281e+00 1.751783415911049857e-02 -1.201827125507702425e-02 9.996906796060930356e-01 -7.421463956252519548e-03
3.894236087799072266e-01 -5.131562948226928711e-01 -1.586932182312011719e+00 9.997762116723247772e-01 -7.339902652166661531e-03 -1.968523783913262576e-02 -2.481278012036134198e-03 3.791409730911254883e-01 -5.128955841064453125e-01 -1.336586952209472656e+00 1.777160970490858707e-02 -1.236438835593300575e-02 9.997040884460849375e-01 -6.320026081054266887e-03
3.899837732315063477e-01 -5.127326846122741699e-01 -1.589351177215576172e+00 9.997779704013821656e-01 -7.578475146708101712e-03 -1.950933698010632808e-02 -2.442792516909959768e-03 3.793868422508239746e-01 -5.128846764564514160e-01 -1.338902711868286133e+00 1.780637267617103670e-02 -1.246389338828959685e-02 9.997096633540946131e-01 -5.983227419938614948e-03
3.900521993637084961e-01 -5.127705931663513184e-01 -1.590430498123168945e+00 9.997802656871932481e-01 -7.254105544264278019e-03 -1.952636894854770794e-02 -2.352805567026092226e-03 3.792363107204437256e-01 -5.129604935646057129e-01 -1.339955687522888184e+00 1.787569580857956836e-02 -1.244378272346659438e-02 9.997144286544138447e-01 -6.153861872709407398e-03
