dynamic_accuracy steamvr; 20211012-215507; x y z w i j k;  frequency = 100
3.609093725681304932e-01 -5.111594200134277344e-01 -1.533521175384521484e+00 9.997624547272723206e-01 -1.919636388180426994e-03 -2.057250055409344525e-02 -6.936252747234325153e-03 3.516087830066680908e-01 -5.161452293395996094e-01 -1.280180096626281738e+00 1.392511438428925552e-02 -6.343567171271775017e-03 9.998149262627660239e-01 -2.889383653029972254e-03
3.598101735115051270e-01 -5.111458897590637207e-01 -1.533900022506713867e+00 9.997665833211283326e-01 -1.812648775804920776e-03 -2.040303274691642257e-02 -6.871328135785436178e-03 3.500485122203826904e-01 -5.162551999092102051e-01 -1.280802607536315918e+00 1.388975644051203620e-02 -6.450091854622819372e-03 9.997998583300045095e-01 -2.834297627142263847e-03
3.584920167922973633e-01 -5.111523270606994629e-01 -1.533937335014343262e+00 9.997681930209725287e-01 -1.984965868470128705e-03 -2.030584229284499581e-02 -6.876718598505393229e-03 3.485364615917205811e-01 -5.163301825523376465e-01 -1.281488537788391113e+00 1.377394585150051864e-02 -6.286460543873539746e-03 9.997814187826783439e-01 -2.778714666783145895e-03
3.570966720581054688e-01 -5.111953020095825195e-01 -1.534587860107421875e+00 9.997674179806304018e-01 -2.170836091507394316e-03 -2.035947184342054225e-02 -6.773483765035494437e-03 3.472063541412353516e-01 -5.163626074790954590e-01 -1.281704664230346680e+00 1.384731534422581345e-02 -6.297120928817747341e-03 9.998274442422979691e-01 -2.542684090743341143e-03
3.552983701229095459e-01 -5.112450122833251953e-01 -1.534466624259948730e+00 9.997664640839998285e-01 -2.042734104160751681e-03 -2.045780415025725066e-02 -6.658016281254263043e-03 3.455897867679595947e-01 -5.165272951126098633e-01 -1.281576275825500488e+00 1.390530357997865445e-02 -6.339887733012867198e-03 9.998208035685137718e-01 -2.752515515308949241e-03
3.533573746681213379e-01 -5.113022923469543457e-01 -1.533803105354309082e+00 9.997709801803146279e-01 -1.677323393530788347e-03 -2.032680486064407030e-02 -6.480476215458545741e-03 3.438018262386322021e-01 -5.166952610015869141e-01 -1.279825448989868164e+00 1.393206824958374834e-02 -6.283781178454822536e-03 9.998377697500119288e-01 -2.901929303890980229e-03
3.519971668720245361e-01 -5.114051103591918945e-01 -1.533653020858764648e+00 9.997723514002408995e-01 -2.063831348729986640e-03 -2.024212190855540980e-02 -6.421804166384843977e-03 3.422527909278869629e-01 -5.166406035423278809e-01 -1.279430508613586426e+00 1.381607306339932735e-02 -6.259708742303480081e-03 9.998015832593275531e-01 -2.783032750270807241e-03
3.503110408782958984e-01 -5.113894343376159668e-01 -1.533295392990112305e+00 9.997749373370493631e-01 -1.839367381799388934e-03 -2.014198666090768336e-02 -6.401878849495512731e-03 3.406820893287658691e-01 -5.166357755661010742e-01 -1.279246807098388672e+00 1.368113612811159771e-02 -6.275413506906694222e-03 9.998064629659072500e-01 -2.342697829575992024e-03
3.490652740001678467e-01 -5.115699172019958496e-01 -1.533953428268432617e+00 9.997771804641374382e-01 -1.994093904059751274e-03 -2.006856297779319176e-02 -6.234878626460538080e-03 3.391097486019134521e-01 -5.162680149078369141e-01 -1.280689239501953125e+00 1.376907672537718529e-02 -6.215878994625353635e-03 9.998346194399081455e-01 -2.682449743149076075e-03
3.474628627300262451e-01 -5.115411281585693359e-01 -1.533940434455871582e+00 9.997767780430368845e-01 -1.888853824400619401e-03 -2.015248332419170701e-02 -6.058021218695384090e-03 3.375474214553833008e-01 -5.162358880043029785e-01 -1.280216097831726074e+00 1.408947370998783928e-02 -6.316622292222078168e-03 9.998177804566689142e-01 -3.274160698829134235e-03
