dynamic_accuracy steamvr; 20211012-215022; x y z w i j k;  frequency = 100
4.989917278289794922e-01 -5.426681041717529297e-01 -1.399502396583557129e+00 6.999732753482288405e-01 6.017109563073119900e-03 -7.140659146944229319e-01 1.053583369818251320e-02 2.295172065496444702e-01 -5.467776060104370117e-01 -1.399905204772949219e+00 7.153493260711254464e-01 -1.858222157466576582e-02 6.985047280458207553e-01 -4.593335826678562016e-03
4.971560239791870117e-01 -5.423768758773803711e-01 -1.400634169578552246e+00 6.998921490210598950e-01 5.652287586612909052e-03 -7.141426586848691471e-01 1.091816761085043046e-02 2.282456010580062866e-01 -5.466822385787963867e-01 -1.400821924209594727e+00 7.152446888795122026e-01 -1.912251738725351952e-02 6.985951869060194053e-01 -4.904845295502445121e-03
4.952585101127624512e-01 -5.424726605415344238e-01 -1.401458263397216797e+00 6.998574287594188092e-01 5.159527522036851804e-03 -7.141668669125926794e-01 1.177162271974689645e-02 2.259637713432312012e-01 -5.467764735221862793e-01 -1.401002764701843262e+00 7.152748296605480061e-01 -2.007108208018057449e-02 6.985351872999198131e-01 -5.250492009822119513e-03
4.938188493251800537e-01 -5.423098802566528320e-01 -1.401252269744873047e+00 6.999736146286089644e-01 4.884192686046494661e-03 -7.140447700359214833e-01 1.237226586205403440e-02 2.242182046175003052e-01 -5.470368266105651855e-01 -1.400714159011840820e+00 7.152563715817500389e-01 -2.043120388715165964e-02 6.985423805440682532e-01 -5.417257565856463224e-03
4.922563135623931885e-01 -5.422441959381103516e-01 -1.401425719261169434e+00 7.000920124414450330e-01 4.502085775536329888e-03 -7.139235230223315298e-01 1.280792105151767023e-02 2.227192670106887817e-01 -5.471347570419311523e-01 -1.401316881179809570e+00 7.152204247467897069e-01 -2.104504811985296459e-02 6.985590507335610599e-01 -5.658951911521005115e-03
4.909698665142059326e-01 -5.423318743705749512e-01 -1.401213407516479492e+00 7.002060568821781850e-01 4.261261368247231014e-03 -7.137993703708418458e-01 1.355309119570931656e-02 2.211345583200454712e-01 -5.472441315650939941e-01 -1.400504946708679199e+00 7.152776485901639614e-01 -2.162647811519949337e-02 6.984808734323487700e-01 -5.879764539590528506e-03
4.893561899662017822e-01 -5.423986911773681641e-01 -1.400923728942871094e+00 7.003606979355793127e-01 3.906273368420746205e-03 -7.136394854556417089e-01 1.408040717531000401e-02 2.197013050317764282e-01 -5.470770597457885742e-01 -1.399574518203735352e+00 7.151204805381153884e-01 -2.210694871209832602e-02 6.986249034982333628e-01 -6.096161915051928441e-03
4.877658784389495850e-01 -5.423223972320556641e-01 -1.401120424270629883e+00 7.003758482376860606e-01 3.540480894524103157e-03 -7.136098359045760509e-01 1.490212915407114480e-02 2.184958755970001221e-01 -5.474107861518859863e-01 -1.399556040763854980e+00 7.151801071668523191e-01 -2.265380228230146412e-02 6.985440505675336587e-01 -6.353113826631401860e-03
4.861639142036437988e-01 -5.423198938369750977e-01 -1.400875091552734375e+00 7.005378937180100074e-01 3.085718244995400584e-03 -7.134415547523065282e-01 1.543421142942203415e-02 2.166031152009963989e-01 -5.475416183471679688e-01 -1.399888515472412109e+00 7.150859080606564167e-01 -2.319565272310723097e-02 6.986185039244175998e-01 -6.799139768121967992e-03
4.845661520957946777e-01 -5.422966480255126953e-01 -1.400838375091552734e+00 7.006874556219029326e-01 2.821720002742873854e-03 -7.132824014073794183e-01 1.603896309454443461e-02 2.149944454431533813e-01 -5.477967262268066406e-01 -1.401829838752746582e+00 7.151774060297833024e-01 -2.380900067330121023e-02 6.985024548715086379e-01 -6.976149410087080678e-03
4.824846386909484863e-01 -5.420694947242736816e-01 -1.401176452636718750e+00 7.007441175552149293e-01 2.476591254988898261e-03 -7.132110523867365437e-01 1.677629924020662688e-02 2.133094519376754761e-01 -5.478339195251464844e-01 -1.401902437210083008e+00 7.151232404948097976e-01 -2.446091014227023616e-02 6.985332532372651171e-01 -7.185780341203178677e-03
4.805045425891876221e-01 -5.417413115501403809e-01 -1.401080965995788574e+00 7.007044928620624891e-01 2.146047455468091079e-03 -7.132361578882255859e-01 1.739807206383294641e-02 2.117252349853515625e-01 -5.479284524917602539e-01 -1.401674151420593262e+00 7.150327515369194753e-01 -2.504926761032167867e-02 6.986020021876113706e-01 -7.474825769717626488e-03
4.790675342082977295e-01 -5.417279005050659180e-01 -1.400791764259338379e+00 7.009157640158488745e-01 1.730894964123478284e-03 -7.130116700779481897e-01 1.812160896984763708e-02 2.101892530918121338e-01 -5.482137799263000488e-01 -1.401587486267089844e+00 7.149281758080884286e-01 -2.551514465733818737e-02 6.986900166568392745e-01 -7.672872624664142313e-03
4.773794114589691162e-01 -5.417599678039550781e-01 -1.401089429855346680e+00 7.008945077868763418e-01 1.408032841583343195e-03 -7.130211329500961703e-01 1.859312989970749591e-02 2.086507678031921387e-01 -5.483946800231933594e-01 -1.401505827903747559e+00 7.148167583575839590e-01 -2.583014718920260619e-02 6.987893312369320986e-01 -7.948326098888977218e-03
4.761462211608886719e-01 -5.419308543205261230e-01 -1.400661706924438477e+00 7.010315552783390469e-01 1.028894409286331205e-03 -7.128749183758702479e-01 1.905192638110817308e-02 2.070563286542892456e-01 -5.482326745986938477e-01 -1.400574088096618652e+00 7.147525454924628097e-01 -2.636232228188762836e-02 6.988315330019579941e-01 -8.259717069520774307e-03
4.740755259990692139e-01 -5.417920351028442383e-01 -1.401262760162353516e+00 7.011098907350040710e-01 6.330048203769835218e-04 -7.127795194325597938e-01 1.974332899660970891e-02 2.055363953113555908e-01 -5.482428669929504395e-01 -1.401319622993469238e+00 7.146667970846500850e-01 -2.704475883760312435e-02 6.988900272253402157e-01 -8.520623938537162656e-03
4.723805189132690430e-01 -5.417464375495910645e-01 -1.400863051414489746e+00 7.012544054748915956e-01 4.847302675084421038e-04 -7.126146101918655607e-01 2.055118851302109584e-02 2.034270018339157104e-01 -5.480835437774658203e-01 -1.400539994239807129e+00 7.145941867368484912e-01 -2.780786052483599086e-02 6.989339334576917251e-01 -8.553072320917943366e-03
4.704151451587677002e-01 -5.416800379753112793e-01 -1.401665449142456055e+00 7.012321288882835679e-01 1.973617458920766019e-04 -7.126189521510667424e-01 2.115712483939665225e-02 2.015896737575531006e-01 -5.480772852897644043e-01 -1.399924397468566895e+00 7.144820690418767217e-01 -2.832766583041202921e-02 6.990235688011446902e-01 -8.882569567629790275e-03
4.689525067806243896e-01 -5.418655276298522949e-01 -1.401228427886962891e+00 7.012294259865917700e-01 -8.008812259149135717e-05 -7.126043376620788683e-01 2.173154746080735097e-02 2.000273615121841431e-01 -5.476874709129333496e-01 -1.399086713790893555e+00 7.143589464260721167e-01 -2.887922191990049958e-02 6.991239188983982000e-01 -9.107712259576272382e-03
4.674960374832153320e-01 -5.419248342514038086e-01 -1.400236248970031738e+00 7.013821633531902577e-01 -4.465177243159228941e-04 -7.124418268134594667e-01 2.212287424236692585e-02 1.986113339662551880e-01 -5.474705696105957031e-01 -1.397290587425231934e+00 7.142875251869466036e-01 -2.937131211620577081e-02 6.991721904854218961e-01 -9.424938488077813301e-03
4.658887982368469238e-01 -5.417650341987609863e-01 -1.400235414505004883e+00 7.013729977187801445e-01 -8.696741918180870981e-04 -7.124292115330627118e-01 2.279681075632945808e-02 1.972447633743286133e-01 -5.483784675598144531e-01 -1.398824334144592285e+00 7.142175931197206618e-01 -2.999912563837546509e-02 6.992108561507719422e-01 -9.868402730449109261e-03
4.636357724666595459e-01 -5.412625074386596680e-01 -1.399739861488342285e+00 7.012802396585403608e-01 -1.397873829944376242e-03 -7.125082940747520244e-01 2.314992983625899572e-02 1.954663395881652832e-01 -5.476703047752380371e-01 -1.397661447525024414e+00 7.141371512023373391e-01 -3.056913053071353553e-02 6.992635342818122046e-01 -1.020166463633330467e-02
4.621941447257995605e-01 -5.413017868995666504e-01 -1.400172829627990723e+00 7.013168057333736272e-01 -1.705648600294112525e-03 -7.124486009898510774e-01 2.384783277727784215e-02 1.935292184352874756e-01 -5.476942062377929688e-01 -1.397740125656127930e+00 7.141201775157396403e-01 -3.122653509506198924e-02 6.992497524113522323e-01 -1.034416486971511881e-02
4.605452716350555420e-01 -5.413731932640075684e-01 -1.400862455368041992e+00 7.014835901369631532e-01 -2.022447139436498072e-03 -7.122653595371499780e-01 2.438554806103793854e-02 1.917336136102676392e-01 -5.476889014244079590e-01 -1.397845506668090820e+00 7.139582396519980056e-01 -3.183512497357160465e-02 6.993818268521430070e-01 -1.073083784087975993e-02
4.589946269989013672e-01 -5.415703654289245605e-01 -1.400257468223571777e+00 7.015500093372457613e-01 -2.336783956519265532e-03 -7.121820593273239242e-01 2.487472225865946726e-02 1.898532956838607788e-01 -5.481071472167968750e-01 -1.396715521812438965e+00 7.140119542156857513e-01 -3.224909469788096728e-02 6.993037728295923294e-01 -1.100407808259928205e-02
4.575650990009307861e-01 -5.416321158409118652e-01 -1.400668501853942871e+00 7.013675460174481069e-01 -2.958028784958110797e-03 -7.123337038755772621e-01 2.560155851075121211e-02 1.885085254907608032e-01 -5.483952760696411133e-01 -1.397929668426513672e+00 7.138716434021366020e-01 -3.271231604118254865e-02 6.994210771958682127e-01 -1.128054321170455718e-02
4.553267061710357666e-01 -5.411087870597839355e-01 -1.399975419044494629e+00 7.014748656164919716e-01 -3.391430110324908896e-03 -7.122099381072912738e-01 2.604632158983190629e-02 1.867532879114151001e-01 -5.475504994392395020e-01 -1.396178007125854492e+00 7.136641476515053206e-01 -3.332278017929124481e-02 6.995983529515654720e-01 -1.162524810140652849e-02
4.540275931358337402e-01 -5.414051413536071777e-01 -1.400992989540100098e+00 7.014514591823278744e-01 -3.777223805886970997e-03 -7.122140959477337718e-01 2.650605582850973710e-02 1.851695477962493896e-01 -5.476383566856384277e-01 -1.397115468978881836e+00 7.135493768701240969e-01 -3.376094203055693410e-02 6.996847967230683807e-01 -1.218953326542403064e-02
4.525516033172607422e-01 -5.413703918457031250e-01 -1.400634407997131348e+00 7.017301980421327690e-01 -4.088847759405597922e-03 -7.119175811476763371e-01 2.704229897090322868e-02 1.836242675781250000e-01 -5.479057431221008301e-01 -1.397550582885742188e+00 7.135369271390139545e-01 -3.418223347243563165e-02 6.996718818913552074e-01 -1.248183392314446312e-02
4.511233866214752197e-01 -5.416491627693176270e-01 -1.400552272796630859e+00 7.017883939832009199e-01 -4.298871902695443684e-03 -7.118401361217698842e-01 2.753345593341453845e-02 1.817700117826461792e-01 -5.486555695533752441e-01 -1.397578239440917969e+00 7.135529860572663585e-01 -3.450174226673900085e-02 6.996352940934811304e-01 -1.273373735148097471e-02
4.487508237361907959e-01 -5.416253209114074707e-01 -1.401106953620910645e+00 7.018291904237464740e-01 -5.021344984044255437e-03 -7.117835557233653798e-01 2.783300727000973668e-02 1.800501048564910889e-01 -5.482555031776428223e-01 -1.397107601165771484e+00 7.134840291851991534e-01 -3.505851016406251464e-02 6.996738613845798760e-01 -1.295509141958912577e-02
4.471453130245208740e-01 -5.411018729209899902e-01 -1.400095343589782715e+00 7.019153541025721088e-01 -5.131075758893123388e-03 -7.116700261933248672e-01 2.853428613230126962e-02 1.782869100570678711e-01 -5.481509566307067871e-01 -1.396611809730529785e+00 7.132643539787206777e-01 -3.545970450448785588e-02 6.998704649993067184e-01 -1.333494818636172911e-02
4.456233680248260498e-01 -5.409827828407287598e-01 -1.400661349296569824e+00 7.018397585181533893e-01 -5.647659127734332846e-03 -7.117190370953883072e-01 2.906851644297382339e-02 1.769591122865676880e-01 -5.485292077064514160e-01 -1.397958874702453613e+00 7.130932075905155321e-01 -3.607040942732112065e-02 7.000078453603387763e-01 -1.363613944883617507e-02
4.443783760070800781e-01 -5.412643551826477051e-01 -1.400207400321960449e+00 7.018698085107161200e-01 -5.928184881016390455e-03 -7.116676956745321414e-01 2.954057502379524650e-02 1.755274534225463867e-01 -5.491471290588378906e-01 -1.397355079650878906e+00 7.131151998513698409e-01 -3.652683817965367286e-02 6.999583404465498093e-01 -1.381136697005655271e-02
4.429785609245300293e-01 -5.414389371871948242e-01 -1.400269985198974609e+00 7.018879581705913528e-01 -6.459692019164627735e-03 -7.116270439676325443e-01 2.997364852800429857e-02 1.741221845149993896e-01 -5.480248928070068359e-01 -1.395809650421142578e+00 7.129279175893622478e-01 -3.675829365073898097e-02 7.001275638201006624e-01 -1.428043832378625595e-02
4.408189356327056885e-01 -5.407484173774719238e-01 -1.399796366691589355e+00 7.018499351679815534e-01 -6.756259242599182632e-03 -7.116329217338984714e-01 3.065176147030544002e-02 1.724639534950256348e-01 -5.481929183006286621e-01 -1.396863102912902832e+00 7.128102123292983094e-01 -3.714168745094020840e-02 7.002211411453483914e-01 -1.457277160640670088e-02
