dynamic_accuracy steamvr; 20211012-214843; x y z w i j k;  frequency = 100
5.206232070922851562e-01 -5.443737506866455078e-01 -1.427776694297790527e+00 6.933737397384898138e-01 7.955646571232079245e-03 -7.204425111689142236e-01 1.149263716056817333e-02 2.496589422225952148e-01 -5.460523366928100586e-01 -1.425323128700256348e+00 7.188285857237393106e-01 -1.435122481180290885e-02 6.950387437574495619e-01 -7.442996494358730501e-04
5.205949544906616211e-01 -5.444055795669555664e-01 -1.428958058357238770e+00 6.933805072948932002e-01 7.839960590367836199e-03 -7.204324922879931092e-01 1.178722806767018051e-02 2.498013824224472046e-01 -5.461307168006896973e-01 -1.426539540290832520e+00 7.188257412030860660e-01 -1.456449215938737836e-02 6.950371201470477711e-01 -8.679575402493403110e-04
5.204852819442749023e-01 -5.443420410156250000e-01 -1.429821014404296875e+00 6.933119448705403753e-01 7.643905876925550721e-03 -7.204972888780821760e-01 1.198641658271498885e-02 2.492527663707733154e-01 -5.460821390151977539e-01 -1.427407860755920410e+00 7.188223013327388333e-01 -1.517222450508715417e-02 6.950273655872344358e-01 -1.090887851224961631e-03
5.201950669288635254e-01 -5.443081855773925781e-01 -1.431468725204467773e+00 6.932159470245399246e-01 7.415347364886795342e-03 -7.205840168063631923e-01 1.245924104184444915e-02 2.493474036455154419e-01 -5.460767745971679688e-01 -1.429642915725708008e+00 7.187956874517852368e-01 -1.577686491451510409e-02 6.950409719519352603e-01 -1.341171506672682702e-03
5.204318761825561523e-01 -5.443117618560791016e-01 -1.433096170425415039e+00 6.930148316342847892e-01 7.157745176341833576e-03 -7.207748347247384668e-01 1.275789575371119068e-02 2.490690201520919800e-01 -5.460194349288940430e-01 -1.431036233901977539e+00 7.188575601951394667e-01 -1.573480634278857926e-02 6.949772935402511731e-01 -1.642625344979474662e-03
5.206795930862426758e-01 -5.443767309188842773e-01 -1.434293270111083984e+00 6.929892351214853585e-01 6.896244716283331418e-03 -7.207992857611228432e-01 1.290901276656520116e-02 2.489543557167053223e-01 -5.460611581802368164e-01 -1.432685375213623047e+00 7.189080360032240602e-01 -1.594090395665421003e-02 6.949201654998968802e-01 -1.731153079822318926e-03
5.208117961883544922e-01 -5.444754362106323242e-01 -1.434880375862121582e+00 6.931026359506879952e-01 6.816904949277753992e-03 -7.206880181468854341e-01 1.307592614884206701e-02 2.492402791976928711e-01 -5.461974143981933594e-01 -1.434908509254455566e+00 7.190140622654590530e-01 -1.623899351237842806e-02 6.948034130020420696e-01 -1.788339464183855750e-03
5.199200510978698730e-01 -5.440419316291809082e-01 -1.437095403671264648e+00 6.929506252202184413e-01 6.368878859247049072e-03 -7.208348885042124010e-01 1.326058577347517982e-02 2.495359331369400024e-01 -5.467975735664367676e-01 -1.439116477966308594e+00 7.191911806273201258e-01 -1.647905699388811304e-02 6.946143784999219140e-01 -1.810461100112845285e-03
5.199192762374877930e-01 -5.440076589584350586e-01 -1.437871932983398438e+00 6.926401000578638056e-01 6.099816084644287331e-03 -7.211299142353605474e-01 1.356608034230736941e-02 2.493178099393844604e-01 -5.467177033424377441e-01 -1.438641428947448730e+00 7.192894580086186540e-01 -1.681216287337527343e-02 6.945046809222010786e-01 -1.789862361401050499e-03
5.204396843910217285e-01 -5.440566539764404297e-01 -1.440889954566955566e+00 6.926415112121505624e-01 6.229004146306042593e-03 -7.211106533541382646e-01 1.443229012369754219e-02 2.489557415246963501e-01 -5.467644929885864258e-01 -1.441143274307250977e+00 7.193941367006410070e-01 -1.686949825675789633e-02 6.943947585103282805e-01 -1.825077649890173180e-03
5.203918218612670898e-01 -5.440512895584106445e-01 -1.441871166229248047e+00 6.924450453591948218e-01 5.742850190834113133e-03 -7.212998013402885933e-01 1.460774207970910385e-02 2.486704289913177490e-01 -5.469576120376586914e-01 -1.443121671676635742e+00 7.194309034953556559e-01 -1.700720745970768846e-02 6.943532231683510192e-01 -1.860359264784134737e-03
